wave_ang,flux_corrected
3360,6.250067830810557e-14
3380,7.707215519478497e-14
3400,7.639630221351189e-14
3420,7.653739914141603e-14
3440,8.623648174648124e-14
3460,8.275332737857958e-14
3480,5.445527852277373e-14
3500,3.2372136350100735e-14
3520,5.4997576151731236e-14
3540,9.931485743064766e-14
3560,9.864630405837201e-14
3580,6.299433204096271e-14
3600,4.6687255055431283e-14
3620,5.4311373038892575e-14
3640,6.067041313928589e-14
3660,5.5519877091766696e-14
3680,5.54681715103161e-14
3700,7.056501665692835e-14
3720,8.124366815559322e-14
3740,6.756319613768206e-14
3760,4.329607829112802e-14
3780,3.9673059472778554e-14
3800,5.681741804618453e-14
3820,6.110435821379809e-14
3840,3.891425638926179e-14
3860,1.9553217104033803e-14
3880,2.990218731501589e-14
3900,5.738019076901133e-14
3920,7.327088811501064e-14
3940,6.837671864750494e-14
3960,5.765878276712781e-14
3980,5.925504189685655e-14
4000,7.585057133802847e-14
4020,9.518424394665361e-14
4040,1.0315318005664107e-13
4060,9.851102655455852e-14
4080,9.216360297678228e-14
4100,9.587724572535382e-14
4120,1.1102284714007295e-13
4140,1.2763105122929304e-13
4160,1.3180825465748057e-13
4180,1.1827873417782597e-13
4200,9.425262653772732e-14
4220,7.436948054487246e-14
4240,7.062919978358885e-14
4260,8.489976346674713e-14
4280,1.0855252983949091e-13
4300,1.299103839593199e-13
4320,1.4125122944645264e-13
4340,1.4274922164852197e-13
4360,1.4126660538145748e-13
4380,1.4458520481958346e-13
4400,1.5591958865056196e-13
4420,1.736725860111469e-13
4440,1.9268772406104808e-13
4460,2.080946395071208e-13
4480,2.179852524896299e-13
4500,2.2402861687295184e-13
4520,2.30259352274794e-13
4540,2.4016874105679975e-13
4560,2.544922436493626e-13
4580,2.7160510967558846e-13
4600,2.870382523439918e-13
4620,2.9716245451541445e-13
4640,2.9967133657035586e-13
4660,2.9429312622637875e-13
4680,2.8443963534153256e-13
4700,2.724960634081834e-13
4720,2.620611212766864e-13
4740,2.550383514016323e-13
4760,2.5160616480844034e-13
4780,2.509805429645704e-13
4800,2.524638002942642e-13
4820,2.5423037753869993e-13
4840,2.5660690833342187e-13
4860,2.586811190951411e-13
4880,2.6126591232086887e-13
4900,2.642813476070408e-13
4920,2.672791552655895e-13
4940,2.6868069252531515e-13
4960,2.6732451762268833e-13
4980,2.6257942625966566e-13
5000,2.538622991510137e-13
5020,2.4067371874107065e-13
5040,2.2565861056806803e-13
5060,2.1036936891843297e-13
5080,1.9764441074287575e-13
5100,1.8998482966379646e-13
5120,1.888255715530708e-13
5140,1.949467394645261e-13
5160,2.0780783042563027e-13
5180,2.257610200573219e-13
5200,2.460800476016032e-13
5220,2.670555838762715e-13
5240,2.862584416487434e-13
5260,3.016513313248846e-13
5280,3.128578896064447e-13
5300,3.1998428518244073e-13
5320,3.2308657329210385e-13
5340,3.2414616795797294e-13
5360,3.2528836189579105e-13
5380,3.272764842188126e-13
5400,3.309267713749702e-13
5420,3.374272740109595e-13
5440,3.4676867279840815e-13
5460,3.571005314212367e-13
5480,3.6836681483953436e-13
5500,3.794084233477689e-13
5520,3.892983389221772e-13
5540,3.957391610725574e-13
5560,4.000548946266387e-13
5580,4.013295068013688e-13
5600,3.9963269588195254e-13
5620,3.9602133281542585e-13
5640,3.9160420292745673e-13
5660,3.8760859670163705e-13
5680,3.847067825904385e-13
