NOT ORIGINAL IUE PROJECT DATA PRODUCT
SWP42389LOWLARGE
HD  197481
20:42:04
-31:31:05
48
NO-TRAIL
X-OFFSETS
4079.356
04/09/91
02:56:33
247
6.49
21/09/95
GSFC
2448503.62260
45
20
1150.59 -1.12e-14  7.30e-14    -2    -3     0
1355.11  1.39e-14  4.08e-15    56    50     0
1356.79  1.27e-14  3.88e-15    56    46     0
1358.46  1.69e-14  5.72e-15    57    61     0
1360.14  2.80e-14  6.70e-15    57    99     0
1361.81  9.76e-15  3.81e-15    58    34     0
1363.49  2.20e-14  6.44e-15    58    77     0
1365.17  1.18e-14  3.90e-15    59    41     0
1366.84  1.41e-14  4.21e-15    59    48     0
1368.52  1.41e-14  4.09e-15    60    48     0
1370.20  2.37e-14  4.43e-15    60    81     0
1371.87  1.94e-14  4.99e-15    61    66     0
1373.55  2.40e-14  5.07e-15    61    82     0
1375.23  3.19e-14  4.77e-15    62   108     0
1376.90  1.06e-14  4.71e-15    62    35     0
1378.58  1.99e-14  4.79e-15    63    67     0
1380.25  8.11e-15  3.76e-15    63    27     0
1381.93  2.45e-14  4.67e-15    64    81     0
1383.61  1.69e-14  6.84e-15    64    56     0
1385.28  2.07e-14  6.06e-15    65    68     0
1386.96  2.37e-14  5.77e-15    65    77     0
1388.64  1.80e-14  4.34e-15    66    58     0
1390.31  2.73e-14  6.94e-15    66    87     0
1391.99  5.18e-14  5.63e-15    67   164     0
1393.67  4.60e-14  5.54e-15    67   145     0
1395.34  3.78e-14  9.44e-15    68   119     0
1397.02  2.93e-14  4.91e-15    68    91     0
1398.69  2.66e-14  4.52e-15    69    82     0
1400.37  3.25e-14  4.91e-15    69    99     0
1402.05  5.14e-14  7.09e-15    70   157     0
1403.72  4.02e-14  5.86e-15    70   121     0
1405.40  1.82e-14  5.14e-15    70    54     0
1407.08  2.68e-14  5.44e-15    71    79     0
1408.75  1.85e-14  4.44e-15    71    54     0
1410.43  2.51e-14  4.61e-15    72    73     0
1412.11  1.68e-14  5.05e-15    72    48     0
1413.78  1.73e-14  4.63e-15    73    49     0
1415.46  1.68e-14  5.62e-15    73    49     0
1417.13  9.68e-15  4.97e-15    74    28     0
1418.81  1.01e-14  6.50e-15    74    29     0
1420.49  1.94e-14  6.17e-15    75    53     0
1422.16  1.56e-14  4.49e-15    75    42     0
1423.84  1.45e-14  4.51e-15    76    39     0
1425.52  1.88e-14  4.77e-15    76    51     0
1427.19  2.02e-14  5.07e-15    76    55     0
1428.87  2.42e-14  4.82e-15    77    65     0
1430.55  1.28e-14  4.38e-15    77    34     0
1432.22  1.94e-14  5.19e-15    78    51     0
1433.90  7.22e-15  4.11e-15    78    19     0
1435.57  1.13e-14  4.39e-15    79    29     0
1437.25  9.27e-15  7.68e-15    79    24     0
1438.93  1.90e-14  4.67e-15    79    49     0
1440.60  3.29e-14  6.02e-15    80    85     0
1442.28  2.68e-14  4.90e-15    80    69     0
1443.96  1.27e-14  4.42e-15    81    32     0
1445.63  1.79e-14  4.62e-15    81    46     0
1447.31  1.86e-14  4.67e-15    82    47     0
1448.99  2.05e-14  5.12e-15    82    52     0
1450.66  1.50e-14  4.46e-15    82    38     0
1452.34  2.08e-14  6.22e-15    83    53     0
1454.02  1.79e-14  4.59e-15    83    45     0
1455.69  2.19e-14  5.20e-15    84    55     0
1457.37  2.10e-14  4.73e-15    84    52     0
1459.04  2.54e-14  7.45e-15    84    63     0
1460.72  3.57e-14  6.57e-15    85    91     0
1462.40  3.01e-15  5.43e-15    85     7     0
1464.07  2.08e-14  4.81e-15    86    52     0
1465.75  2.56e-14  5.27e-15    86    64     0
1467.43  1.95e-14  4.65e-15    86    48     0
1469.10  2.14e-14  4.71e-15    87    53     0
1470.78  3.16e-14  5.12e-15    87    77     0
1472.46  2.70e-14  5.01e-15    87    65     0
1474.13  2.24e-14  5.12e-15    88    54     0
1475.81  2.34e-14  4.83e-15    88    56     0
1477.48  1.09e-14  4.33e-15    88    26     0
1479.16  2.14e-14  6.25e-15    89    51     0
1480.84  1.78e-14  4.71e-15    89    42     0
1482.51  1.76e-14  4.67e-15    90    42     0
1484.19  1.40e-14  5.04e-15    90    33     0
1485.87  2.31e-14  4.77e-15    90    56     0
1487.54  1.42e-14  4.43e-15    91    34     0
1489.22  2.32e-14  4.75e-15    91    55     0
1490.90  1.31e-14  4.46e-15    91    30     0
1492.57  2.51e-14  5.08e-15    92    59     0
1494.25  9.73e-15  7.07e-15    92    22     0
1495.92  1.63e-14  4.68e-15    92    38     0
1497.60  2.96e-14  5.21e-15    93    70     0
1499.28  2.66e-14  4.89e-15    93    62     0
1500.95  2.87e-14  5.06e-15    93    68     0
1502.63  1.61e-14  4.47e-15    93    38     0
1504.31  1.66e-14  4.40e-15    94    38     0
1505.98  1.84e-14  4.56e-15    94    43     0
1507.66  1.69e-14  4.45e-15    94    39     0
1509.34  2.42e-14  4.84e-15    95    56     0
1511.01  3.49e-14  5.88e-15    95    80     0
1512.69  2.72e-14  4.90e-15    95    62     0
1514.36  1.55e-14  6.16e-15    96    35     0
1516.04  2.03e-14  4.68e-15    96    45     0
1517.72  1.75e-14  4.53e-15    96    39     0
1519.39  1.70e-14  4.56e-15    96    37     0
1521.07  2.34e-14  4.84e-15    97    51     0
1522.75  2.16e-14  5.13e-15    97    47     0
1524.42  2.25e-14  4.83e-15    97    49     0
1526.10  1.88e-14  4.64e-15    97    41     0
1527.78  2.54e-14  4.83e-15    98    55     0
1529.45  2.21e-14  5.03e-15    98    48     0
1531.13  1.42e-14  4.37e-15    98    31     0
1532.80  3.02e-14  5.88e-15    98    66     0
1534.48  3.01e-14  5.16e-15    99    66     0
